인증번호,소재지,품목,재배면적.제곱미터.,생산계획량.톤.
1014724,전라남도 해남군,배추,7715,65.58
1014724,전라남도 해남군,배추,221,1.88
1014724,전라남도 해남군,배추,300,2.55
1014724,전라남도 해남군,배추,1060,9.01
1014724,전라남도 해남군,배추,9000,76.5
1014724,전라남도 해남군,배추,4722,40.14
1014724,전라남도 해남군,배추,2300,19.55
1014724,전라남도 해남군,배추,2096,17.82
1014724,전라남도 해남군,배추,1167,9.92
1014724,전라남도 해남군,배추,3300,28.05
1014724,전라남도 해남군,배추,300,2.55
1014724,전라남도 해남군,배추,1060,9.01
1014724,전라남도 해남군,배추,1325,11.26
1014724,전라남도 해남군,배추,2750,23.38
1014724,전라남도 해남군,배추,1700,14.45
1014724,전라남도 해남군,배추,2317,19.69
1014724,전라남도 해남군,배추,1939,16.48
1014724,전라남도 해남군,배추,495,4.21
1014724,전라남도 해남군,배추,300,2.55
1014724,전라남도 해남군,배추,1640,13.94
1014724,전라남도 해남군,배추,1749,14.87
1014724,전라남도 해남군,배추,2397,20.37
1014724,전라남도 해남군,배추,476,4.05
1014724,전라남도 해남군,배추,397,3.37
1014724,전라남도 해남군,배추,112,0.95
1014724,전라남도 해남군,배추,985,8.37
1014724,전라남도 해남군,배추,4592,39.03
1014724,전라남도 해남군,배추,2255,19.17
1014724,전라남도 해남군,배추,645,5.48
1014724,전라남도 해남군,배추,2500,21.25
1014724,전라남도 해남군,배추,2050,17.43
1014724,전라남도 해남군,배추,5500,46.75
1014724,전라남도 해남군,배추,3500,29.75
1014724,전라남도 해남군,배추,400,3.4
1014724,전라남도 해남군,배추,141,1.2
1014724,전라남도 해남군,배추,1389,11.81
1014724,전라남도 해남군,배추,1438,12.22
1014724,전라남도 해남군,배추,1265,10.75
1014724,전라남도 해남군,배추,2218,18.85
1014724,전라남도 해남군,배추,2750,23.38
1014724,전라남도 해남군,배추,1200,10.2
1014724,전라남도 해남군,배추,1603,13.63
1014724,전라남도 해남군,배추,529,4.5
1014724,전라남도 해남군,배추,476,4.05
1014724,전라남도 해남군,배추,554,4.71
1014724,전라남도 해남군,배추,1560,13.26
1014724,전라남도 해남군,배추,1564,13.29
1014724,전라남도 해남군,배추,2843,24.17
1014724,전라남도 해남군,배추,664,5.64
1014724,전라남도 해남군,배추,102,0.87
1014724,전라남도 해남군,배추,1131,9.61
1014724,전라남도 해남군,배추,9900,84.15
1014724,전라남도 해남군,배추,5127,43.58
1014724,전라남도 해남군,배추,10048,85.41
1014724,전라남도 해남군,배추,1300,11.05
1014724,전라남도 해남군,배추,584,4.96
1014724,전라남도 해남군,배추,985,8.37
1014724,전라남도 해남군,배추,794,6.75
1014724,전라남도 해남군,배추,2969,25.24
1014724,전라남도 해남군,배추,3642,30.96
1014724,전라남도 해남군,배추,1676,14.25
1014724,전라남도 해남군,배추,1999,16.99
1014724,전라남도 해남군,배추,1000,8.5
1014724,전라남도 해남군,배추,3000,25.5
1014724,전라남도 해남군,배추,1265,10.75
1014724,전라남도 해남군,배추,5500,46.75
1014724,전라남도 해남군,배추,2010,17.09
1014724,전라남도 해남군,배추,1458,12.39
1014724,전라남도 해남군,배추,2107,17.91
1014724,전라남도 해남군,배추,529,4.5
1014724,전라남도 해남군,배추,469,3.99
1014724,전라남도 해남군,배추,621,5.28
1014724,전라남도 해남군,배추,734,6.24
1014724,전라남도 해남군,배추,696,5.92
1014724,전라남도 해남군,배추,793,6.74
1014724,전라남도 해남군,배추,1720,14.62
1014724,전라남도 해남군,배추,2000,17
1014724,전라남도 해남군,배추,2334,19.84
1014757,경상북도 영양군,배추,1593,3.3
1014757,경상북도 영양군,배추,873,1.8
1014757,경상북도 영양군,배추,1838,3.8
1014757,경상북도 영양군,배추,1395,2.9
1014757,경상북도 영양군,배추,651,1.3
1014757,경상북도 영양군,배추,28,0.1
1014757,경상북도 영양군,배추,2990,6.1
1014757,경상북도 영양군,배추,2284,4.7
1014757,경상북도 영양군,배추,3362,6.9
1014757,경상북도 영양군,배추,2158,4.4
1014757,경상북도 영양군,배추,1506,3.1
1014757,경상북도 영양군,배추,1008,2.1
1014757,경상북도 영양군,배추,1342,2.8
1014757,경상북도 영양군,배추,3505,7.2
1014757,경상북도 영양군,배추,6089,12.5
1014757,경상북도 영양군,배추,1696,3.5
1015118,충청북도 충주시,배추,1585,22.2
1015118,충청북도 충주시,배추,882,12.3
1015118,충청북도 충주시,배추,1290,18.1
1015118,충청북도 충주시,배추,3453,48.3
1015118,충청북도 충주시,배추,18182,254.5
1015118,충청북도 충주시,배추,1485,20.8
1015118,충청북도 충주시,배추,874,12.2
1015118,충청북도 충주시,배추,614,8.6
1015118,충청북도 충주시,배추,6605,92.5
1015118,충청북도 충주시,배추,1560,21.8
1015118,충청북도 충주시,배추,1002,14
1015118,충청북도 충주시,배추,2547,35.7
1015118,충청북도 충주시,배추,1099,15.4
1015118,충청북도 충주시,배추,2197,30.8
1015118,충청북도 충주시,배추,3150,44.1
1015118,충청북도 충주시,배추,2958,41.4
1015118,충청북도 충주시,배추,856,12
1015118,충청북도 충주시,배추,4387,61.4
1015118,충청북도 충주시,배추,182,2.5
1015118,충청북도 충주시,배추,962,13.5
1015118,충청북도 충주시,배추,1369,19.2
1015118,충청북도 충주시,배추,1078,15.1
1015118,충청북도 충주시,배추,2645,37
1015118,충청북도 충주시,배추,1276,17.9
1015118,충청북도 충주시,배추,1421,19.9
1015118,충청북도 충주시,배추,1202,16.8
1015118,충청북도 충주시,배추,1182,16.5
1015118,충청북도 충주시,배추,243,3.4
1015118,충청북도 충주시,배추,578,8.1
1015118,충청북도 충주시,배추,1663,23.3
1015118,충청북도 충주시,배추,1279,17.9
1015118,충청북도 충주시,배추,744,10.4
1015118,충청북도 충주시,배추,433,6.1
1015118,충청북도 충주시,배추,1343,18.8
1015118,충청북도 충주시,배추,837,11.7
1015118,충청북도 충주시,배추,1418,19.9
1015118,충청북도 충주시,배추,1187,16.6
1015118,충청북도 충주시,배추,2195,30.7
1015118,충청북도 충주시,배추,1041,14.6
1015118,충청북도 충주시,배추,989,13.8
1015118,충청북도 충주시,배추,1919,26.9
1015118,충청북도 충주시,배추,1923,26.9
1015118,충청북도 충주시,배추,2912,40.8
1015118,충청북도 충주시,배추,3196,44.7
1015118,충청북도 충주시,배추,2618,36.7
1015118,충청북도 충주시,배추,2721,38.1
1015118,충청북도 충주시,배추,5098,71.4
1015118,충청북도 충주시,배추,1623,22.7
1015118,충청북도 충주시,배추,1101,15.4
1015118,충청북도 충주시,배추,2099,29.4
1015118,충청북도 충주시,배추,1320,18.5
1015118,충청북도 충주시,배추,2622,36.7
1015118,충청북도 충주시,배추,701,9.8
1015118,충청북도 충주시,배추,1737,24.3
1015118,충청북도 충주시,배추,1130,15.8
1015118,충청북도 충주시,배추,2158,30.2
1015118,충청북도 충주시,배추,1417,19.8
1015118,충청북도 충주시,배추,692,9.7
1015118,충청북도 충주시,배추,1371,19.2
1015118,충청북도 충주시,배추,2152,30.1
1015118,충청북도 충주시,배추,2152,30.1
1015118,충청북도 충주시,배추,1963,27.5
1015118,충청북도 충주시,배추,2922,40.9
1015118,충청북도 충주시,배추,1522,21.3
1015118,충청북도 충주시,배추,875,12.3
1015118,충청북도 충주시,배추,320,4.5
1015118,충청북도 충주시,배추,1130,15.8
1015118,충청북도 충주시,배추,1416,19.8
1015118,충청북도 충주시,배추,1346,18.8
1015118,충청북도 충주시,배추,1341,18.8
1015118,충청북도 충주시,배추,1871,26.2
1015118,충청북도 충주시,배추,4064,56.9
1015118,충청북도 충주시,배추,1849,25.9
1015118,충청북도 충주시,배추,1523,21.3
1015118,충청북도 충주시,배추,863,12.1
1015118,충청북도 충주시,배추,833,11.7
1015118,충청북도 충주시,배추,1643,23
1015118,충청북도 충주시,배추,662,9.3
1015118,충청북도 충주시,배추,1332,18.6
1015118,충청북도 충주시,배추,1585,22.2
1015118,충청북도 충주시,배추,1341,18.8
1015118,충청북도 충주시,배추,1346,18.8
1015118,충청북도 충주시,배추,1523,21.3
1015118,충청북도 충주시,배추,863,12.1
1015118,충청북도 충주시,배추,833,11.7
1015118,충청북도 충주시,배추,1643,23
1015118,충청북도 충주시,배추,662,9.3
1015118,충청북도 충주시,배추,1332,18.6
1015118,충청북도 충주시,배추,942,13.2
1015118,충청북도 충주시,배추,7969,111.6
1015118,충청북도 충주시,배추,1130,15.8
1015118,충청북도 충주시,배추,1762,24.7
1015118,충청북도 충주시,배추,2959,41.4
1015118,충청북도 충주시,배추,4919,68.9
1015118,충청북도 충주시,배추,2906,40.7
1015118,충청북도 충주시,배추,1798,25.2
1015118,충청북도 충주시,배추,2906,40.7
1015118,충청북도 충주시,배추,3330,46.6
1015118,충청북도 충주시,배추,1798,25.2
1015118,충청북도 충주시,배추,1762,24.7
1015118,충청북도 충주시,배추,7969,111.6
1015118,충청북도 충주시,배추,2959,41.4
1015118,충청북도 충주시,배추,387,5.4
1015118,충청북도 충주시,배추,4919,68.9
1015118,충청북도 충주시,배추,2742,38.4
1015118,충청북도 충주시,배추,1697,23.8
1015118,충청북도 충주시,배추,1088,15.2
1015118,충청북도 충주시,배추,1014,14.2
1015118,충청북도 충주시,배추,2339,32.7
1015118,충청북도 충주시,배추,212,3
1015118,충청북도 충주시,배추,2396,33.5
1015118,충청북도 충주시,배추,3486,48.8
1015118,충청북도 충주시,배추,942,13.2
1015644,전라남도 해남군,배추,500,5.64
1015644,전라남도 해남군,배추,1402,15.82
1015644,전라남도 해남군,배추,1230,13.88
1015644,전라남도 해남군,배추,1040,11.74
1015658,전라남도 해남군,배추,2317,26.15
1015658,전라남도 해남군,배추,384,4.33
1015658,전라남도 해남군,배추,955,10.78
1015658,전라남도 해남군,배추,1401,15.81
1015659,전라남도 해남군,배추,1266,14.29
1015659,전라남도 해남군,배추,1762,19.89
