"","인증번호","소재지","품목","재배면적.제곱미터.","시도","시도전체면적","시도전채생산량","위도","경도","연도"
"141",1010183,"경기도 용인시 처인구","배추",225,"경기도",1435,124769,37.2343060386837,127.201357139725,2022
"142",1011422,"전라남도 해남군","배추",832,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"143",1011422,"전라남도 해남군","배추",1452,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"144",1011422,"전라남도 해남군","배추",1035,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"145",1011422,"전라남도 해남군","배추",1974,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"146",1011422,"전라남도 해남군","배추",1231,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"147",1011422,"전라남도 해남군","배추",1006,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"148",1011422,"전라남도 해남군","배추",2950,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"149",1011422,"전라남도 해남군","배추",1396,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"150",1011422,"전라남도 해남군","배추",2245,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"151",1011422,"전라남도 해남군","배추",483,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"152",1011422,"전라남도 해남군","배추",2673,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"153",1011422,"전라남도 해남군","배추",2122,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"154",1011422,"전라남도 해남군","배추",1538,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"155",1011422,"전라남도 해남군","배추",2495,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"156",1011422,"전라남도 해남군","배추",1843,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"157",1011422,"전라남도 해남군","배추",2457,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"158",1011422,"전라남도 해남군","배추",1076,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"159",1011422,"전라남도 해남군","배추",1017,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"160",1011422,"전라남도 해남군","배추",1994,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"161",1011423,"전라남도 해남군","배추",1633,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"162",1011423,"전라남도 해남군","배추",1289,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"163",1011423,"전라남도 해남군","배추",1129,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"164",1011423,"전라남도 해남군","배추",317,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"165",1011423,"전라남도 해남군","배추",420,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"166",1011423,"전라남도 해남군","배추",772,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"167",1011423,"전라남도 해남군","배추",2383,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"168",1011423,"전라남도 해남군","배추",843,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"169",1011423,"전라남도 해남군","배추",1183,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"170",1011423,"전라남도 해남군","배추",1714,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"171",1011423,"전라남도 해남군","배추",1475,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"172",1011423,"전라남도 해남군","배추",2168,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"173",1011423,"전라남도 해남군","배추",1211,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"174",1011424,"전라남도 해남군","배추",7643,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"175",1011424,"전라남도 해남군","배추",3500,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"176",1011424,"전라남도 해남군","배추",2393,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"177",1011424,"전라남도 해남군","배추",780,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"178",1011424,"전라남도 해남군","배추",595,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"179",1011424,"전라남도 해남군","배추",813,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"180",1011424,"전라남도 해남군","배추",992,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"181",1011424,"전라남도 해남군","배추",2083,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"182",1011424,"전라남도 해남군","배추",1362,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"183",1011424,"전라남도 해남군","배추",896,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"184",1011425,"전라남도 해남군","배추",1260,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"185",1011425,"전라남도 해남군","배추",1130,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"186",1011425,"전라남도 해남군","배추",664,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"187",1011425,"전라남도 해남군","배추",1633,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"188",1011425,"전라남도 해남군","배추",1825,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"189",1011425,"전라남도 해남군","배추",1129,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"190",1011425,"전라남도 해남군","배추",466,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
"191",1011425,"전라남도 해남군","배추",2225,"전라남도",8364,701228,34.5735165884839,126.599270065365,2022
